,0,adin_predicted,blue_lakes_predicted,cedar_pass_predicted,css_lab_predicted,dismal_swamp_predicted,ebbetts_pass_predicted,echo_peak_predicted,fallen_leaf_predicted,hagans_meadow_predicted,heavenly_valley_predicted,independence_camp_predicted,independence_creek_predicted,independence_lake_predicted,leavitt_lake_predicted,leavitt_meadows_predicted,lobdell_lake_predicted,monitor_pass_predicted,poison_flat_predicted,rubicon_2_predicted,sonora_pass_predicted,spratt_creek_predicted,palisades_tahoe_predicted,tahoe_city_cross_predicted,truckee_2_predicted,virginia_lakes_ridge_predicted,ward_creek_3_predicted,adin,blue_lakes,burnside_lake,carson_pass,cedar_pass,css_lab,dismal_swamp,ebbetts_pass,echo_peak,fallen_leaf,hagans_meadow,heavenly_valley,independence_camp,independence_creek,independence_lake,leavitt_lake,leavitt_meadows,lobdell_lake,monitor_pass,poison_flat,rubicon_2,sonora_pass,spratt_creek,palisades_tahoe,tahoe_city_cross,truckee_2,virginia_lakes_ridge,ward_creek_3
1989-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,435.0,554.9,403.6,625.9,536.0,1019.1,824.3,667.7,877.1,445.7,410.3,423.7,527.6,604.4,664.4,1189.0,342.1,286.1,212.2,421.8,585.4,475.3,386.3,907.3000000000001,512.8,449.9,354.8,1108.6
1989-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,612.4000000000001,894.1,660.8000000000001,799.0,774.3000000000001,1616.8,1183.6,1041.0,1407.2,708.7,625.3,662.7,802.1,892.0,1040.6,1709.1000000000001,554.3,410.0,334.3,645.1,946.9,731.5,595.5,1413.8,790.9,747.7,505.6,1699.2
1989-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,728.6,1079.8,698.5,791.9,918.1999999999999,1930.2,1418.6,1241.2,1695.4,822.9,739.8,784.6,929.4,986.8000000000001,1231.6000000000001,1814.4,627.7,443.9,357.3,723.4,1123.9,851.4,712.6,1674.5,953.1,906.0,553.4,2046.0
1989-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,826.8,1187.3,784.5999999999999,852.8000000000001,1020.2,2098.3,1573.8999999999999,1309.5,1822.7,881.7,806.1,884.4,1030.5,1058.8,1359.6,1909.3,696.4,542.4,427.0,780.9,1222.8,953.5,800.0,1792.1,1016.3,979.4,644.5,2209.2
1989-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,882.3,1213.4,766.9,876.0,1034.5,2085.7999999999997,1572.0,1334.0,1821.4,899.1,836.9,916.5,1090.7,1098.8999999999999,1405.0,1925.3,744.9,607.4,447.0,809.6,1243.0,990.6,823.6,1833.8,1034.4,1000.5,691.1,2187.6
1989-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,923.8000000000001,1258.6000000000001,793.6,906.9,1078.8,2164.3,1627.5,1395.0,1887.8999999999999,933.1,871.1,951.6999999999999,1140.8,1143.8999999999999,1460.1000000000001,2011.9,778.1,632.4,461.90000000000003,843.1999999999999,1289.6000000000001,1032.3,863.3,1906.5,1078.8,1038.5,719.1999999999999,2263.0
1989-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,928.3,1279.3,793.6,908.3000000000001,1097.5,2222.8,1645.6,1419.1,1905.7,949.7,892.6,976.6,1190.5,1182.7,1495.7,2011.9,787.3,661.5,462.1,869.8,1316.4,1046.0,877.8,1948.7,1106.7,1056.5,735.5,2286.6
1989-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,941.4,1281.5,775.2,879.0,1124.6000000000001,2250.1,1655.0,1424.1000000000001,1907.2,951.5,900.3,977.7,1213.5,1192.7,1515.4,1947.0000000000002,785.6,689.5,464.7,876.6,1325.5,1074.9,878.6,1978.4,1115.2,1066.0,741.5,2280.3
1989-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.200000000000001,33.9,28.4,47.5,17.400000000000002,81.0,28.4,41.0,61.4,37.1,29.700000000000003,27.8,55.7,59.7,71.8,35.1,29.9,12.3,34.199999999999996,28.1,46.3,21.3,29.0,70.0,50.800000000000004,62.9,4.3999999999999995,79.9
1989-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.4,135.3,66.3,253.20000000000002,73.4,265.5,105.8,173.7,223.5,117.6,94.60000000000001,93.5,161.5,158.7,192.0,89.0,98.0,35.1,124.2,86.1,142.6,92.9,111.7,213.4,127.2,150.1,26.7,254.5
1989-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.2,223.8,158.5,345.7,191.5,436.2,232.3,293.6,371.1,216.2,168.3,179.79999999999998,263.5,259.6,309.1,237.9,145.9,80.60000000000001,246.1,149.29999999999998,247.8,176.70000000000002,177.3,334.6,222.9,257.90000000000003,74.7,365.6
1990-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.4,327.0,457.09999999999997,500.1,268.2,569.9,384.2,408.6,500.1,278.3,224.1,232.1,323.3,324.4,387.1,311.9,210.9,131.4,405.5,225.5,311.7,255.0,249.9,461.2,298.9,322.59999999999997,148.1,510.7
1990-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.1,448.3,651.6999999999999,618.0,356.6,766.1,500.6,575.6,663.5,366.7,312.9,326.2,430.7,440.5,512.4,473.9,304.90000000000003,204.5,460.5,324.7,433.7,369.8,342.7,624.5,410.4,440.3,242.1,737.8
1990-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,417.2,617.1,830.8000000000001,1071.1,532.0,1050.2,685.2,796.6,888.3,480.4,442.2,455.4,586.1,624.2,692.4,741.6999999999999,434.2,301.6,720.5,459.7,603.8000000000001,516.4,457.9,873.2,554.5,633.7,337.5,1015.4
1990-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,462.2,674.8,822.2,1120.5,605.8,1082.2,723.5,851.2,920.1,489.70000000000005,478.8,489.4,609.1,642.5,717.0,826.8,471.3,326.5,880.5,489.3,628.8,548.7,475.7,919.9,581.8,671.1,353.4,1061.2
1990-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,545.6,772.5,877.6,1269.2,711.1,1209.5,859.8,958.7,1042.0,548.2,551.9,589.9,674.4,703.0,787.7,945.7,532.6,382.4,1030.0,565.1,715.3,624.8,557.7,1075.4,658.1,749.7,393.9,1204.7
1990-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,709.6,813.3,885.0,1262.7,843.6,1321.3,1009.1,1030.5,1125.1000000000001,579.1,579.1,640.8000000000001,719.3,748.4,880.1,980.3,557.0,388.7,1072.3,590.4,803.6,654.8,604.7,1214.4,705.1,780.9,400.7,1347.8
1990-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,745.8000000000001,859.8,928.7,1314.3999999999999,888.3,1377.2,1048.0,1085.6,1171.8,611.4,630.9,684.5,768.1,799.3,922.0,1019.6999999999999,646.1,441.6,1143.8,643.0999999999999,853.9,736.2,663.0,1277.1,747.6,809.1,449.1,1409.5
1990-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,751.3,907.4,939.3000000000001,1321.0,905.9,1395.2,1065.8,1117.0,1213.4,641.4,668.1,698.7,792.8,836.6,929.6,1026.1000000000001,706.0,485.6,1144.8999999999999,672.4,867.2,804.6,705.0,1295.1000000000001,776.4,824.0,493.8,1423.5
1990-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,732.7,901.4,911.5999999999999,1284.0,892.3,1368.3,1050.3,1096.7,1211.6000000000001,641.5,662.8,678.7,789.0,828.3,911.5,1000.9,693.5,477.90000000000003,1111.2,660.3,855.4,793.9,701.3,1278.7,759.3,817.6,496.8,1396.1000000000001
1990-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,5.1000000000000005,49.9,109.2,4.6000000000000005,18.2,21.4,9.4,18.1,3.9,1.3,5.4,1.9000000000000001,5.1000000000000005,4.9,74.2,5.8,6.4,0.0,6.4,1.0,5.1,8.2,15.6,3.3,8.8,0.0,7.6
1990-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,40.4,159.5,199.1,58.0,76.1,115.1,56.5,77.9,28.5,21.2,55.9,19.7,28.2,30.400000000000002,270.1,22.6,26.1,6.800000000000001,27.8,23.6,26.700000000000003,34.6,71.1,20.1,29.6,6.7,53.9
1990-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.8,98.89999999999999,256.1,368.4,138.9,163.6,208.9,143.4,178.8,72.8,82.1,147.8,71.0,81.9,83.0,571.6,60.7,70.0,83.4,72.1,80.6,73.8,79.2,148.9,70.3,77.7,29.8,136.1
1991-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.0,142.9,452.7,569.4,213.39999999999998,233.8,319.40000000000003,205.9,258.5,104.89999999999999,124.89999999999999,198.0,100.89999999999999,109.2,122.0,1071.3,100.3,95.10000000000001,183.1,101.4,121.2,119.9,110.5,220.8,112.3,108.3,51.4,199.2
1991-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.4,165.1,556.3,728.4,246.6,283.5,371.4,229.3,287.7,122.8,134.20000000000002,199.1,115.9,134.0,158.1,1275.4,100.60000000000001,101.2,344.2,110.0,139.9,122.80000000000001,123.3,256.40000000000003,134.4,128.8,65.1,233.1
1991-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.0,544.2,941.8,997.4000000000001,450.0,839.8,657.0,691.5,774.2,401.2,380.0,439.5,428.2,400.3,567.3,2126.4,416.4,292.5,611.7,381.9,517.0,469.1,373.7,812.7,431.3,421.0,334.4,824.8
1991-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,441.9,759.6,999.5,1141.0,603.5,1124.7,845.6,909.8000000000001,1026.1,547.2,532.4,596.5,586.0,528.6,784.1,2601.0,574.6,410.5,686.4,536.8,712.4,662.3,523.2,1048.7,595.9,576.6,469.7,1098.6
1991-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,627.1,865.4,1130.9,1322.3,887.7,1303.5,1076.3,1030.4,1166.3,590.5,605.6,678.5,666.0,601.1,877.6,2993.3,641.4,465.5,761.6,605.0,795.7,750.2,564.8,1207.3,664.0,643.4,499.4,1256.9
1991-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,697.6,872.7,1114.3,1347.5,1024.8,1333.6999999999998,1173.9,1051.4,1183.8999999999999,585.4,618.1,701.1,693.2,609.0,891.2,2961.4,640.6,481.40000000000003,767.6,636.5,806.5,756.8,563.6,1247.7,673.0,648.5,513.2,1286.1999999999998
1991-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,763.0,946.3,1153.2,1395.0,1110.8,1427.8999999999999,1305.1000000000001,1121.2,1257.0,617.3,685.8,777.0,732.5,637.5,937.3000000000001,3087.0,683.6,507.0,827.1,680.7,866.0999999999999,790.7,599.6,1327.4,722.6,679.7,533.1999999999999,1357.8
1991-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,807.3000000000001,967.1999999999999,1154.6000000000001,1397.3,1145.6000000000001,1452.1000000000001,1330.1,1150.2,1296.2,667.1,704.0,810.4,766.7,679.0,981.3,3089.4,705.7,540.0,851.7,712.3,890.7,812.5,644.4,1338.2,766.8000000000001,710.0,538.1,1359.5
1991-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,786.8000000000001,972.1,1123.6,1355.2,1135.2,1426.2,1312.1,1158.3999999999999,1277.3,681.5999999999999,711.8,803.9,777.7,698.1,980.4,2999.7,719.0,543.9,834.1,724.3,888.6,821.8000000000001,652.5,1312.3,782.9,731.2,538.1,1320.8
1991-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,25.6,124.0,139.3,10.3,34.8,22.1,28.5,30.400000000000002,22.0,14.799999999999999,16.0,16.1,21.6,10.600000000000001,0.0,25.7,19.8,41.3,19.6,16.2,19.7,26.799999999999997,32.0,20.2,21.2,15.3,31.0
1991-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.4,188.9,166.5,346.0,123.7,237.6,170.4,214.7,266.0,154.0,116.8,133.6,116.5,138.8,116.9,1.0,173.5,127.0,76.5,145.1,139.9,150.9,182.7,244.0,134.0,137.1,118.60000000000001,235.3
1991-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.9,296.5,329.8,653.8,227.3,402.9,315.2,356.8,449.5,239.70000000000002,208.4,230.29999999999998,209.0,221.6,231.20000000000002,194.0,233.4,194.5,247.3,235.4,228.2,242.0,258.7,398.0,211.1,225.8,188.79999999999998,379.2
1992-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.4,419.0,528.0,913.9,262.2,526.6,384.0,476.0,541.4,290.3,267.29999999999995,278.7,279.2,284.3,331.8,450.0,295.2,243.3,576.7,297.40000000000003,287.4,317.3,315.6,493.5,259.2,270.2,238.2,477.2
1992-02-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.3,529.6,706.0,972.5,284.0,705.6,424.8,592.0,663.7,341.1,316.8,323.3,359.1,334.9,456.8,864.2,365.3,283.5,692.5,349.0,382.8,388.6,360.2,645.4,342.3,339.90000000000003,310.4,630.0
1992-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,346.9,754.9,927.7,1437.3,415.59999999999997,1059.2,584.8,815.5,946.2,470.3,423.3,432.5,508.6,460.0,670.8,1289.5,546.5,362.1,756.5999999999999,447.0,585.8,520.2,471.0,937.9,503.90000000000003,475.3,422.1,955.3
1992-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.7,783.5,1084.4,1632.0,483.40000000000003,1102.8,663.6,864.3,997.6,498.09999999999997,460.4,480.90000000000003,533.0,475.9,716.4,1401.4,552.5,381.09999999999997,750.9,475.2,628.6,540.4,494.2,979.6,528.1,510.0,453.3,1011.8
